Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Arrival Date|Carbon_Footprint_per_Unit_kgCO2e|Transport_Distance_km|Recycled_Packaging|Water_Consumption_per_Unit_liters
M310|Ferments lactiques|Ingrédient|460.01|927|SUPPLIER_68|426429.27|9/7/2023|927|400|Non|2781
M278|Sel iodé|Ingrédient|175.9|205|SUPPLIER_19|36059.5|9/10/2023|205|300|Oui|615
M3a||Produit laitier|372.34|||||1142|||5710
M429|Fruits mélangés|Ingrédient|466.94|873|SUPPLIER_41|407638.62|10/2/2023|873|400|Oui|2619
M397|Amidon modifié|Produit laitier|175.92|727|SUPPLIER_31|127893.84|9/2/2023|1454|300|Oui|7270
M211|Levure sèche|Produit laitier|488.84|646|SUPPLIER_9|315790.64|9/4/2023|1292|200|Oui|6460
M176|Crème pasteurisée|Produit laitier|240.64|682|SUPPLIER_37|164116.48|9/8/2023|1364|400|Oui|6820
M466|Eau déminéralisée|Produit laitier|362.25|274|SUPPLIER_49|99256.5|10/27/2023|548|120|Oui|2740
M060|Crème pasteurisée|Ingrédient|147.47|396|SUPPLIER_74|58398.12|9/19/2023|396|50|Non|1188
M499|Sucre blanc|Ingrédient|304.76|851|SUPPLIER_82|259350.76|9/14/2023|851|200|Oui|2553
|Crème pasteurisée||||SUPPLIER_31||||250||
M212|Sel iodé|Produit laitier|145.68|110|SUPPLIER_51|16024.8|10/25/2023|220|150|Non|1100
M382|Sel iodé|Ingrédient|359.49|633|SUPPLIER_79|227557.17|10/3/2023|633|250|Oui|1899
M030|Eau déminéralisée|Produit laitier|306.93|209|SUPPLIER_21|64148.37|9/5/2023|418|180|Oui|2090
M244|Ferments lactiques|Produit laitier|56.16|323|SUPPLIER_54|18139.68|9/26/2023|646|300|Oui|3230
M205|Eau déminéralisée|Produit laitier|242.37|277|SUPPLIER_28|67136.49|10/30/2023|554|180|Non|2770
M405|Ferments lactiques|Produit laitier|115.17|713|SUPPLIER_15|82116.21|10/8/2023|1426|100|Oui|7130
M233|Arômes naturels|Produit laitier|417.86|921|SUPPLIER_41|384849.06|10/14/2023|1842|300|Oui|9210
M405|Colorant alimentaire|Produit laitier|265.81|365|SUPPLIER_37|97020.65|9/16/2023|730|250|Oui|3650
M090|Ferments lactiques|Produit laitier|367.98|491|SUPPLIER_66|180678.18|10/22/2023|982|120|Non|4910
M381|Crème pasteurisée|Produit laitier|213.46|989|SUPPLIER_32|211111.94|10/18/2023|1978|400|Non|9890
M308|Beurre de cacao|Produit laitier|80.62|195|SUPPLIER_27|15720.9|9/27/2023|390|50|Oui|1950
|Extrait dl|Produit laitier|487d|||||44j||Non|2220
M497|Fruits mélangés|Ingrédient|129.82|233|SUPPLIER_77|30248.06|9/3/2023|233|300|Non|699
M012|Lait frais entier|Ingrédient|129.66|837|SUPPLIER_6|108525.42|10/1/2023|837|300|Non|2511
M175|Gomme de guar|Produit laitier|176.17|897|SUPPLIER_62|158024.49|10/30/2023|1794|300|Non|8970
M041|Chocolat en poudre|Ingrédient|352.34|152|SUPPLIER_25|53555.68|9/27/2023|152|400|Non|456
M448|Gomme de guar|Produit laitier|243.17|848|SUPPLIER_51|206208.16|10/7/2023|1696|180|Non|8480
M135|Eau déminéralisée|Produit laitier|284.97|414|SUPPLIER_31|117977.58|9/19/2023|828|120|Non|4140
M361|Sel iodé|Produit laitier|427.29|626|SUPPLIER_35|267483.54|9/13/2023|1252|300|Oui|6260
M449|Amidon modifié|Ingrédient|287.9|154|SUPPLIER_73|44336.6|9/13/2023|154|150|Oui|462
|||391s|||1166g|2023-n|59b|50o||298s
|Gomme y||244h|28m||697w||28f|10i|No|
M0f|||276.62||SUPPLIER_9|||139|||
M186|Crème pasteurisée|Produit laitier|497.05|876|SUPPLIER_2|435415.8|10/8/2023|1752|120|Oui|8760
M253|Eau déminéralisée|Produit laitier|121.93|735|SUPPLIER_6|89618.55|9/18/2023|1470|250|Non|7350
M298|Beurre de cacao|Ingrédient|170.62|157|SUPPLIER_5|26787.34|10/20/2023|157|150|Oui|471
M078|Amidon modifié|Ingrédient|227.61|108|SUPPLIER_22|24581.88|9/17/2023|108|200|Oui|324
M3e|Crème pasteurisée||342i||SUPPLIER_52|3112v|2023-p||||
M077|Arômes naturels|Ingrédient|469.95|345|SUPPLIER_74|162132.75|10/30/2023|345|500|Oui|1035
M199|Eau déminéralisée|Produit laitier|376.27|901|SUPPLIER_63|339019.27|10/30/2023|1802|250|Oui|9010
M179|Fromage râpé|Produit laitier|419.84|474|SUPPLIER_24|199004.16|9/22/2023|948|120|Non|4740
M350|Sucre blanc|Ingrédient|380.36|269|SUPPLIER_15|102316.84|10/10/2023|269|180|Non|807
||Produit laitier||69t|SUPPLIER_39|6050q|10/3/2023|1384|50e||692l
M235|Ferments lactiques|Ingrédient|384.68|259|SUPPLIER_7|99632.12|10/31/2023|259|50|Non|777
M461|Stabilisants|Produit laitier|114.32|902|SUPPLIER_55|103116.64|10/31/2023|1804|120|Non|9020
M470|Beurre de cacao|Produit laitier|221.55|552|SUPPLIER_62|122295.6|9/26/2023|1104|100|Oui|5520
M198|Extrait de vanille|Produit laitier|164|783|SUPPLIER_65|128412|9/22/2023|1566|150|Oui|7830
M388|Sirop de glucose|Produit laitier|493.9|721|SUPPLIER_30|356101.9|9/13/2023|1442|180|Non|7210
M101|Amidon modifié|Ingrédient|158.24|814|SUPPLIER_52|128807.36|10/27/2023|814|180|Oui|2442
M493|Fruits mélangés|Ingrédient|421.39|225|SUPPLIER_45|94812.75|10/25/2023|225|120|Non|675
|Amidon modifié|Ingrédient|223w|||2228k|9/3/2023||||
M009|Concentré de fraise|Ingrédient|361.34|994|SUPPLIER_16|359171.96|10/20/2023|994|50|Non|2982
M418|Levure sèche|Ingrédient|389.95|845|SUPPLIER_20|329507.75|10/19/2023|845|400|Oui|2535
|||498.94|||399650.94||1602|12o||801d
M153|Extrait de vanille|Ingrédient|97.01|193|SUPPLIER_59|18722.93|10/26/2023|193|50|Oui|579
||Ingrée||36k|SUPPLIER_79|124275.6|||||1080
||Ingrét||3087.46166|||||||2805
M073|Crème pasteurisée|Ingrédient|201.19|808|SUPPLIER_63|162561.52|9/29/2023|808|100|Oui|2424
M332|Poudre de lait écrémé|Ingrédient|164.33|580|SUPPLIER_51|95311.4|9/24/2023|580|300|Non|1740
|||486y|766|||||18m||229l
M250|Sucre blanc|Produit laitier|248.08|562|SUPPLIER_6|139420.96|10/5/2023|1124|500|Oui|5620
M298|Sel iodé|Produit laitier|413.79|749|SUPPLIER_47|309928.71|10/15/2023|1498|300|Non|7490
M397|Lait frais entier|Ingrédient|287.06|481|SUPPLIER_51|138075.86|10/23/2023|481|100|Oui|1443
|Poudre de s|Produitk||63s||184363.68|2023-u|127s||Non|
M131|Crème pasteurisée|Ingrédient|145.55|578|SUPPLIER_9|84127.9|9/28/2023|578|400|Oui|1734
M313|Lait frais entier|Ingrédient|223.22|302|SUPPLIER_68|67412.44|9/5/2023|302|250|Non|906
M3p|Chocolat en poudre|||||3014f|10/26/2023|76y||Non|
M381|Gomme de guar|Ingrédient|282.85|330|SUPPLIER_80|93340.5|10/17/2023|330|500|Oui|990
M274|Eau déminéralisée|Produit laitier|421.58|414|SUPPLIER_15|174534.12|9/4/2023|828|250|Oui|4140
M374|Sel n|Produitq|459.53|||201733.67|10/13/2023||500|Ot|4390
M119|Fromagk|Produit laitier|66c|||||||Non|
M087|Amidon modifié|Ingrédient|99.32|852|SUPPLIER_42|84620.64|9/4/2023|852|180|Oui|2556
||Produit laitier||74j|SUPPLIER_35|197045.05||||Oui|
M180|Gomme de guar|Ingrédient|119.04|729|SUPPLIER_60|86780.16|9/3/2023|729|180|Oui|2187
M128|Sucre blanc|Ingrédient|487.9|630|SUPPLIER_49|307377|9/30/2023|630|50|Oui|1890
M055|Beurre de cacao|Ingrédient|467.14|395|SUPPLIER_20|184520.3|10/1/2023|395|300|Oui|1185
M004|Beurre de cacao|Produit laitier|451.21|447|SUPPLIER_15|201690.87|10/8/2023|894|500|Non|4470
M158|Beurre de cacao|Produit laitier|74.71|362|SUPPLIER_65|27045.02|10/29/2023|724|50|Oui|3620
M217|Arômes naturels|Ingrédient|450.93|320|SUPPLIER_10|144297.6|10/19/2023|320|180|Oui|960
M075|Gomme de guar|Produit laitier|476.36|439|SUPPLIER_27|209122.04|10/18/2023|878|150|Non|4390
M418|Crème pasteurisée|Produit laitier|301.59|450|SUPPLIER_31|135715.5|9/21/2023|900|200|Non|4500
M061||Produiti|||SUPPLIER_82|34045.44|2023-q||50l|Oui|1280
M246|Ferments lactiques|Produit laitier|459.97|587|SUPPLIER_42|270002.39|9/29/2023|1174|100|Oui|5870
M295|Fruits mélangés|Produit laitier|462.32|890|SUPPLIER_40|411464.8|9/18/2023|1780|250|Oui|8900
M402|Fruits mélangés|Ingrédient|286.53|119|SUPPLIER_3|34097.07|9/10/2023|119|50|Non|357
M086|Fruits mélangés|Produit laitier|498.83|115|SUPPLIER_17|57365.45|9/3/2023|230|500|Oui|1150
M163|Amidon modifié|Ingrédient|440.4|145|SUPPLIER_32|63858|10/12/2023|145|300|Non|435
|Colorant ai||||||9/8/2023||||1839
M195|Poudre de lait écrémé|Produit laitier|287.19|275|SUPPLIER_64|78977.25|10/22/2023|550|150|Non|2750
M375|Levure sèche|Ingrédient|416.92|283|SUPPLIER_2|117988.36|9/24/2023|283|50|Oui|849
M491|Levure sèche|Ingrédient|95.56|871|SUPPLIER_33|83232.76|9/16/2023|871|200|Oui|2613
M001|Eau déminéralisée|Produit laitier|288.42|120|SUPPLIER_12|34610.4|10/6/2023|240|50|Oui|1200
M120|Extrait de vanille|Ingrédient|109.31|703|SUPPLIER_61|76844.93|9/6/2023|703|50|Oui|2109
M180|Colorant alimentaire|Ingrédient|108.77|595|SUPPLIER_20|64718.15|10/29/2023|595|200|Non|1785
M378|Extrait de vanille|Produit laitier|76.56|475|SUPPLIER_79|36366|9/13/2023|950|200|Non|4750
M239|Beurre de cacao|Produit laitier|99.36|932|SUPPLIER_41|92603.52|9/26/2023|1864|50|Non|9320
||||789|||9/8/2023||150||7890
M1t|||||SUPPLIER_67||2023-o||||
|Sel iodé||||SUPPLIER_76|107523.85||1610||Op|805r
M376|Beurre de cacao|Produit laitier|380.04|658|SUPPLIER_12|250066.32|9/24/2023|1316|50|Oui|6580
M480|Poudre de lait écrémé|Ingrédient|122.92|769|SUPPLIER_73|94525.48|9/18/2023|769|100|Non|2307
|Sucre blanc|Ingrédient|305y|855||2608b|2023-w|855|25o|Nv|2565
M391|Gomme de guar|Ingrédient|409.64|536|SUPPLIER_52|219567.04|9/8/2023|536|100|Non|1608
M377|Sirop de glucose|Produit laitier|497.61|149|SUPPLIER_27|74143.89|9/13/2023|298|180|Oui|1490
M384|Eau déminéralisée|Produit laitier|239.67|121|SUPPLIER_24|29000.07|10/12/2023|242|100|Oui|1210
||Produit laitier||843|SUPPLIER_10||2023-z|||Non|8430
M384|Stabilisants|Produit laitier|179.63|453|SUPPLIER_3|81372.39|10/27/2023|906|400|Oui|4530
||Produitu|261n|50z|SUPPLIER_75|131082.24||100x|||5020
M053|Arômes naturels|Ingrédient|269.98|641|SUPPLIER_3|173057.18|10/31/2023|641|120|Non|1923
M427|Beurre de cacao|Ingrédient|76.73|941|SUPPLIER_71|72202.93|10/18/2023|941|120|Non|2823
M409|Sirop de glucose|Ingrédient|458.86|804|SUPPLIER_82|368923.44|10/4/2023|804|100|Oui|2412
||||229|SUPPLIER_57|8647u||229|||
||Ingrédient|||SUPPLIER_12|||||Oo|31u
M046|Amidon modifié|Produit laitier|480.38|484|SUPPLIER_28|232503.92|9/11/2023|968|300|Oui|4840
M437|Concentré de fraise|Produit laitier|338.81|304|SUPPLIER_7|102998.24|9/4/2023|608|180|Oui|3040
|Eau déminéralisée|Ingrép||802|SUPPLIER_18|||||Nj|240h
M238|Amidon o||458.41|16t|SUPPLIER_51|7380c|||25u|Non|
M117|Gomme de guar|Ingrédient|205.5|566|SUPPLIER_42|116313|10/9/2023|566|120|Oui|1698
M072|Crème pasteurisée|Ingrédient|246.43|979|SUPPLIER_67|241254.97|10/31/2023|979|300|Oui|2937
M202|Sucre blanc|Produit laitier|464.92|661|SUPPLIER_72|307312.12|10/12/2023|1322|120|Oui|6610
M198|Chocolat g|Produitp||872|SUPPLIER_15||9/26/2023|1744|20s|Oui|
M108|Lait frais entier|Ingrédient|443.32|401|SUPPLIER_35|177771.32|10/5/2023|401|500|Non|1203
M1f||Produitj|376g|134|SUPPLIER_21|5044j|||25r||134q
M427|Stabilisants|Ingrédient|162.86|991|SUPPLIER_51|161394.26|9/22/2023|991|180|Oui|2973
M011|Eau déminéralisée|Produit laitier|262.54|241|SUPPLIER_42|63272.14|9/12/2023|482|50|Oui|2410
M076|Eau déminéralisée|||63z|SUPPLIER_72|||630||Non|
M088|Poudre de lait écrémé|Produit laitier|289.08|779|SUPPLIER_41|225193.32|9/8/2023|1558|500|Non|7790
M299|Sirop de glucose|Ingrédient|400.28|382|SUPPLIER_9|152906.96|10/30/2023|382|150|Oui|1146
|Sucre blanc|||||201865.42||934|25x||
M451|Stabilisants|Ingrédient|101.03|121|SUPPLIER_7|12224.63|10/6/2023|121|400|Non|363
M347||Produitc|||||2023-d|80p|250||
M051|Fruits mélangés|Produit laitier|416.54|690|SUPPLIER_30|287412.6|10/17/2023|1380|50|Oui|6900
||Ingrédient|150t|16m||25307.52|2023-o|16q|50||
M043|Ferments lactiques|Ingrédient|171.74|798|SUPPLIER_25|137048.52|10/28/2023|798|50|Non|2394
M1a||||||178h|2023-h||500||103h
M0b|Arômes naturels|||||1000n|2023-f||30l||
||Ingrée||31h||30403.36|2023-n|31t|400|Non|93y
M039|Eau déminéralisée|Ingrédient|63.21|693|SUPPLIER_36|43804.53|10/29/2023|693|180|Oui|2079
M281|Fromage râpé|Ingrédient|116.92|584|SUPPLIER_26|68281.28|9/10/2023|584|300|Non|1752
M056|Crème pasteurisée|Produit laitier|285.74|870|SUPPLIER_52|248593.8|10/4/2023|1740|50|Non|8700
||Ingrédient|465z|706|SUPPLIER_38|328988.94|2023-o|70m||Nh|
M183|Fromage râpé|Produit laitier|379.25|840|SUPPLIER_34|318570|10/12/2023|1680|120|Oui|8400
M346|Levure sèche|Ingrédient|72.85|545|SUPPLIER_2|39703.25|10/31/2023|545|150|Non|1635
M004|Levure sèche|Ingrédient|142.1|137|SUPPLIER_18|19467.7|10/3/2023|137|150|Non|411
M410|Extrait de vanille|Produit laitier|435.08|382|SUPPLIER_8|166200.56|10/16/2023|764|50|Oui|3820
M3j||Ingréh||||216112.16||496|||148q
M210|Amidon modifié|Produit laitier|443.55|223|SUPPLIER_47|98911.65|10/30/2023|446|180|Non|2230
M144|Sucre blanc|Produit laitier|147.91|236|SUPPLIER_54|34906.76|9/30/2023|472|120|Non|2360
|Sucrey|Ingrég|83u|25k|SUPPLIER_45|20782.5||250||Ok|750
M274|Crème pasteurisée|Ingrédient|395.7|681|SUPPLIER_5|269471.7|10/19/2023|681|50|Oui|2043
M207|Fromage râpé|Produit laitier|89.88|920|SUPPLIER_33|82689.6|9/12/2023|1840|300|Non|9200
M427|Levure sèche|Ingrédient|208.09|647|SUPPLIER_58|134634.23|9/14/2023|647|250|Oui|1941
M162|Ferments lactiques|Produit laitier|162.46|868|SUPPLIER_77|141015.28|10/30/2023|1736|400|Non|8680
M102|Chocolat en poudre|Produit laitier|158.69|370|SUPPLIER_9|58715.3|10/28/2023|740|300|Oui|3700
M012||Ingréy|212.1||SUPPLIER_14|||129|50q|Non|
M402|Sirop de glucose|Ingrédient|493.87|206|SUPPLIER_42|101737.22|9/18/2023|206|50|Oui|618
M434|Crème pasteurisée|Ingrédient|84.16|422|SUPPLIER_27|35515.52|10/15/2023|422|250|Non|1266
M485|Stabilisants|Produit laitier|59.87|504|SUPPLIER_64|30174.48|9/18/2023|1008|250|Oui|5040
M279|Eau déminéralisée|Produit laitier|126.07|702|SUPPLIER_81|88501.14|10/26/2023|1404|300|Oui|7020
M447|Poudre de lait écrémé|Ingrédient|429.05|152|SUPPLIER_55|65215.6|9/28/2023|152|120|Oui|456
M495|Fromage râpé|Produit laitier|181.91|995|SUPPLIER_68|181000.45|10/28/2023|1990|50|Oui|9950
M349|Amidon modifié|Ingrédient|431.6|469|SUPPLIER_22|202420.4|9/22/2023|469|500|Non|1407
M286|Concentré de fraise|Produit laitier|285.98|818|SUPPLIER_10|233931.64|9/26/2023|1636|100|Non|8180
M012|Eau déminéralisée||||SUPPLIER_83||||180|Oui|
|||444y|941|||||30l|Non|
M001|Levure sèche|Produit laitier|191.01|226|SUPPLIER_23|43168.26|10/31/2023|452|150|Oui|2260
M058|Beurre de cacao|Ingrédient|66.56|649|SUPPLIER_8|43197.44|9/4/2023|649|100|Non|1947
M219|Beurre de cacao|Produit laitier|64.51|871|SUPPLIER_78|56188.21|10/2/2023|1742|250|Non|8710
M264|Ferments lactiques|Produit laitier|217.6|103|SUPPLIER_16|22412.8|10/8/2023|206|180|Non|1030
M234|Ferments lactiques|Produit laitier|116.48|233|SUPPLIER_64|27139.84|9/7/2023|466|200|Oui|2330
M268|Ferments lactiques|Produit laitier|176.31|850|SUPPLIER_55|149863.5|9/29/2023|1700|500|Non|8500
M460|Eau déminéralisée|Produit laitier|134.39|607|SUPPLIER_20|81574.73|9/4/2023|1214|500|Oui|6070
||Ingréy|16j|55i|||||||
M154|Beurre de cacao|Produit laitier|240.88|252|SUPPLIER_45|60701.76|9/15/2023|504|200|Oui|2520
M192|Concentré de fraise|Produit laitier|262.37|793|SUPPLIER_49|208059.41|9/11/2023|1586|180|Non|7930
M309|Amidon modifié|Ingrédient|176.49|381|SUPPLIER_32|67242.69|9/28/2023|381|120|Non|1143
M387|Sucre blanc|Ingrédient|436.67|121|SUPPLIER_21|52837.07|10/8/2023|121|200|Non|363
||||||1095l|2023-m||50|Ok|3320
|||236r||SUPPLIER_76|||476|50|Non|
M247|Levure sèche|Ingrédient|405.4|290|SUPPLIER_15|117566|10/30/2023|290|50|Oui|870
M381|Colorant alimentaire|Produit laitier|435.17|528|SUPPLIER_70|229769.76|9/12/2023|1056|100|Non|5280
|Fromagz|||43p|SUPPLIER_58|||43i|120||1317
M268|Crème pasteurisée|Ingrédient|426.77|432|SUPPLIER_36|184364.64|10/25/2023|432|400|Oui|1296
|Concentréq||192|47s|SUPPLIER_60|||958|200||4790
M011|Beurre de cacao|Ingrédient|291.17|159|SUPPLIER_69|46296.03|9/30/2023|159|250|Oui|477
M247|Sirop de glucose|Ingrédient|157.99|303|SUPPLIER_71|47870.97|9/26/2023|303|100|Oui|909
M3v|Chocolat en poudre|Ingrédient|55.79|||37435.09|2023-i||12a||
M225|Colorant alimentaire|Ingrédient|362.52|677|SUPPLIER_68|245426.04|10/17/2023|677|50|Oui|2031
M197|Amidon modifié|Ingrédient|321.92|596|SUPPLIER_57|191864.32|10/10/2023|596|120|Non|1788
M234|Chocolat en poudre|Ingrédient|218.55|438|SUPPLIER_10|95724.9|9/15/2023|438|200|Non|1314
M273|Eau déminéralisée|Produit laitier|153.51|794|SUPPLIER_52|121886.94|10/17/2023|1588|500|Oui|7940
|||43a|60i||264174.3|10/4/2023|||Oa|6030
M394|Amidon modifié|Ingrédient|363.02|920|SUPPLIER_22|333978.4|10/20/2023|920|200|Oui|2760
M404|Fromage râpé|Produit laitier|241.23|807|SUPPLIER_17|194672.61|10/26/2023|1614|200|Oui|8070
M023|Gomme de guar|Produit laitier|71.97|459|SUPPLIER_83|33034.23|10/6/2023|918|180|Non|4590
M4i|||55.53|822|||||30q|Nu|
M4p||||427|SUPPLIER_76||10/10/2023|854||Oq|4270
M045|Poudre de lait écrémé|Ingrédient|107.42|339|SUPPLIER_20|36415.38|10/5/2023|339|120|Oui|1017
M344|Gomme de guar|Produit laitier|416.28|805|SUPPLIER_9|335105.4|9/12/2023|1610|150|Oui|8050
M160|Levure sèche|Ingrédient|114.4|180|SUPPLIER_17|20592|10/26/2023|180|100|Non|540
M389|Lait frais entier||414.05|559|SUPPLIER_7|231453.95||55t|||167x
M110|Levure sèche|Ingrédient|214.44|218|SUPPLIER_14|46747.92|9/2/2023|218|50|Oui|654
|Beurre de cacao|Produit laitier|59v|38i|SUPPLIER_22||2023-z|776|||3880
M011|Sucre blanc|Ingrédient|107.33|449|SUPPLIER_27|48191.17|9/3/2023|449|400|Non|1347
M295|Beurre de cacao|Ingrédient|284.81|887|SUPPLIER_69|252626.47|10/21/2023|887|200|Non|2661
|||46w|52v||243862.5||105x|||
M378|Eau déminéralisée|Ingrédient|223.35|716|SUPPLIER_79|159918.6|9/17/2023|716|300|Oui|2148
M150|Poudre de lait écrémé|Produit laitier|351.74|698|SUPPLIER_13|245514.52|9/14/2023|1396|300|Oui|6980
M021|Fruits mélangés|Ingrédient|437.37|550|SUPPLIER_47|240553.5|10/15/2023|550|300|Non|1650
M347|Concentré de fraise|Produit laitier|230.39|161|SUPPLIER_50|37092.79|10/7/2023|322|300|Oui|1610
M023|Stabilisants|Produit laitier|225.23|345|SUPPLIER_1|77704.35|10/1/2023|690|500|Oui|3450
M456|Poudre de lait écrémé|Ingrédient|338.01|646|SUPPLIER_63|218354.46|10/13/2023|646|150|Non|1938
M028|Fruits mélangés|Produit laitier|145.57|516|SUPPLIER_6|75114.12|9/16/2023|1032|200|Oui|5160
M259|Fromage râpé|Ingrédient|153.36|210|SUPPLIER_17|32205.6|9/24/2023|210|400|Non|630
M183|Stabilisants|Produit laitier|349.13|562|SUPPLIER_48|196211.06|9/7/2023|1124|100|Oui|5620
M457|Poudre de lait écrémé|Produit laitier|77.4|396|SUPPLIER_10|30650.4|10/17/2023|792|150|Oui|3960
M0q|Fromagl|Ingréy|217a|918||1999q||91c||Nh|2754
M346|Extrait de vanille|Ingrédient|105.05|475|SUPPLIER_71|49898.75|10/29/2023|475|200|Oui|1425
M056|Sucre blanc|Ingrédient|294.51|981|SUPPLIER_46|288914.31|10/2/2023|981|250|Non|2943
M494|Chocolat en poudre|Produit laitier|70.12|241|SUPPLIER_64|16898.92|9/28/2023|482|300|Non|2410
M011|Ferments lactiques|Produit laitier|167.3|587|SUPPLIER_68|98205.1|10/3/2023|1174|400|Oui|5870
|Gomme de guar||282w|||1049r|||||
M127|Poudre de lait écrémé|Ingrédient|75.79|677|SUPPLIER_78|51309.83|10/28/2023|677|250|Oui|2031
M131|Concentré de fraise|Ingrédient|91.9|452|SUPPLIER_12|41538.8|10/5/2023|452|50|Non|1356
M426||Produitp|437d|||135628.1|10/14/2023||18a||
M378|Ferments lactiques|Ingrédient|52.22|435|SUPPLIER_29|22715.7|10/2/2023|435|180|Non|1305
