Supplier_ID;Supplier_Name;Location;Contact_Email;Phone_Number;Environmental_Certifications;Transport_Type;Renewable_Energy_Percentage;Sustainability_Program
SUPPLIER_38;Distributeurs SustainTech;Nabeul;info@distributeurssustaintech.tn;+216 71 891 553;Aucune;Multimodal;3.47;Oui
SUPPLIER_39;Fermes du Futur Intl.;Tunis;info@fermesdufuturintl..com;+216 71 452 839;Agriculture Biologique;Ferroviaire;98.71;Non
SUPPLIER_40;Pionniers Eco Logistique;Gabès;info@pionniersecologistique.tn;+216 71 180 200;Agriculture Biologique;Unknown;32.45;Oui
SUPPLIER_41;PureBio SARL;Sousse;info@purebiosarl.org;+216 71 786 930;ISO 14001;Camionnage;15.8;Non
SUPPLIER_42;Pure Nature SARL;Sousse;info@purenaturesarl.tn;+216 71 437 145;Aucune;Multimodal;84.58;Oui
SUPPLIER_43;PureBio SARL;Nabeul;info@purebiosarl.com;+216 71 511 531;Agriculture Biologique;Maritime;18.24;Oui
SUPPLIER_44;Solutions Eco Tunisie;Gabès;info@solutionsecotunisie.com;+216 71 290 827;Aucune;Ferroviaire;51.32;Non
SUPPLIER_45;Emballages Verts Tunisie;Nabeul;info@emballagesvertstunisie.org;+216 71 656 842;ISO 14001;Camionnage;33.9;Oui
SUPPLIER_46;Départ Bio SARL;Nabeul;info@départbiosarl.com;+216 71 663 148;Aucune;Camionnage;58.29;Oui
SUPPLIER_47;Fournitures Récolte Future;Sousse;info@fournituresrécoltefuture.com;+216 71 286 774;Aucune;Camionnage;14.29;Oui
SUPPLIER_48;Innovations Biologiques SARL;Sfax;info@innovationsbiologiquessarl.com;+216 71 469 460;Agriculture Biologique;Unknown;19.94;Oui
SUPPLIER_49;Fruits Frais et Saveurs;Tunis;info@fruitsfraisetsaveurs.org;+216 71 652 774;ISO 14001;Ferroviaire;19.0;Oui
SUPPLIER_50;GreenWay Supplies;Sousse;info@greenwaysupplies.org;+216 71 265 979;ISO 14001;Camionnage;78.85;Non
SUPPLIER_51;Distributeurs GreenTech;Nabeul;info@distributeursgreentech.org;+216 71 994 974;Aucune;Camionnage;16.52;Oui
SUPPLIER_52;Fournitures Eco Tunisie;Tunis;info@fournituresecotunisie.com;+216 71 242 351;Agriculture Biologique;Unknown;62.92;Oui
SUPPLIER_53;Innovations Eco Intl.;Sousse;info@innovationsecointl..tn;+216 71 835 552;Agriculture Biologique;Multimodal;89.7;Oui
SUPPLIER_54;Racines Vertes SARL;Sfax;info@racinesvertessarl.com;+216 71 570 164;Aucune;Maritime;90.13;Non
SUPPLIER_55;Agro Nature Chemin;Sousse;info@agronaturechemin.org;+216 71 178 599;ISO 14001;Ferroviaire;26.23;Oui
SUPPLIER_56;Organic Source Ltd.;Gabès;info@organicsourceltd..org;+216 71 895 978;Agriculture Biologique;Maritime;99.6;Non
SUPPLIER_57;Vie Verte SARL;Sfax;info@vievertesarl.tn;+216 71 735 549;Aucune;Aérien;75.79;Oui
SUPPLIER_58;Solutions Eco Tunisie;Nabeul;info@solutionsecotunisie.org;+216 71 457 159;Aucune;Unknown;17.73;Non
SUPPLIER_59;BioChoice Logistics;Tunis;info@biochoicelogistics.org;+216 71 353 254;ISO 14001;Aérien;63.95;Oui
SUPPLIER_60;Commerce Naturellement Bio;Nabeul;info@commercenaturellementbio.org;+216 71 646 697;Agriculture Biologique;Unknown;92.98;Non
SUPPLIER_61;Fournitures Eco Tunisie;Sousse;info@fournituresecotunisie.org;+216 71 113 714;Agriculture Biologique;Ferroviaire;73.15;Non
SUPPLIER_62;Énergie Verte Agro;Tunis;info@énergieverteagro.org;+216 71 460 852;ISO 14001;Aérien;30.72;Non
SUPPLIER_63;Aliments Solaires Tunisie;Nabeul;info@alimentssolairestunisie.org;+216 71 376 632;Agriculture Biologique;Maritime;99.12;Oui
SUPPLIER_64;Sain et Durable SARL;Gabès;info@sainetdurablesarl.com;+216 71 224 586;Aucune;Ferroviaire;60.48;Non
SUPPLIER_65;Vie Verte SARL;Nabeul;info@vievertesarl.com;+216 71 592 248;Aucune;Maritime;70.82;Non
SUPPLIER_66;Future Foods Tunisia;Tunis;info@futurefoodstunisia.tn;+216 71 227 469;Agriculture Biologique;Unknown;70.71;Oui
SUPPLIER_67;Logistique PureVert;Tunis;info@logistiquepurevert.org;+216 71 995 423;ISO 14001;Ferroviaire;4.66;Non
SUPPLIER_68;Racines Vertes SARL;Sousse;info@racinesvertessarl.tn;+216 71 168 773;Aucune;Ferroviaire;63.66;Non
SUPPLIER_69;Logistique Eco Intl.;Gabès;info@logistiqueecointl..com;+216 71 419 680;Aucune;Maritime;35.35;Non
SUPPLIER_70;Solutions Eco Tunisie;Sfax;info@solutionsecotunisie.org;+216 71 798 605;Agriculture Biologique;Maritime;92.75;Oui
SUPPLIER_71;Fournitures Agricoles Eco;Gabès;info@fournituresagricoleseco.com;+216 71 716 702;Agriculture Biologique;Ferroviaire;4.91;Oui
SUPPLIER_72;Aliments Biologiques SARL;Tunis;info@alimentsbiologiquessarl.org;+216 71 616 415;Agriculture Biologique;Multimodal;57.55;Oui
SUPPLIER_73;Fournitures Terre Propre;Gabès;info@fournituresterrepropre.tn;+216 71 382 989;ISO 14001;Unknown;67.72;Non
SUPPLIER_74;Logistique BioChoix;Sfax;info@logistiquebiochoix.com;+216 71 207 441;Aucune;Unknown;42.11;Oui
SUPPLIER_75;Partenaires EcoCommerce;Tunis;info@partenairesecocommerce.com;+216 71 270 812;ISO 14001;Multimodal;1.88;Oui
SUPPLIER_76;Marché Biologique SARL;Sfax;info@marchébiologiquesarl.org;+216 71 102 647;ISO 14001;Maritime;36.68;Non
SUPPLIER_77;Produits Naturels Intl.;Nabeul;info@produitsnaturelsintl..org;+216 71 751 260;ISO 14001;Unknown;41.29;Non
SUPPLIER_78;Distributeurs SustainTech;Nabeul;info@distributeurssustaintech.org;+216 71 676 403;Agriculture Biologique;Camionnage;46.92;Non
SUPPLIER_79;Fournitures Voie Verte;Nabeul;info@fournituresvoieverte.com;+216 71 914 624;Agriculture Biologique;Ferroviaire;29.27;Oui
SUPPLIER_80;Planète Verte Aliments;Sousse;info@planètevertealiments.org;+216 71 905 504;Aucune;Multimodal;19.35;Non
SUPPLIER_81;Logistique Eco Intl.;Sfax;info@logistiqueecointl..org;+216 71 260 497;Agriculture Biologique;Unknown;89.13;Oui
SUPPLIER_82;Vie Verte SARL;Nabeul;info@vievertesarl.tn;+216 71 257 108;ISO 14001;Maritime;28.82;Non
SUPPLIER_83;Fermes du Futur Intl.;Sousse;info@fermesdufuturintl..tn;+216 71 352 155;Aucune;Multimodal;67.93;Non
